Priority Score,Carrier,Category,Lane,Port,Week Number,Day of Week,Terminal,SSL,Vessel,Maximum Container Count,Minimum Container Count,Percent Allocation,Excluded FC
100,RKNE,,,SEA,,,,,,0,,,
100,HJBT,,,SEA,,,,,,0,,,
